neighborhood,price,rooms,area,category,price_per_m2
Ali Demi,206000,3.0,104.0,sale,1980.7692307692307
Ali Demi,144000,2.0,111.0,sale,1297.2972972972973
Ali Demi,210000,2.0,140.0,sale,1500.0
Ali Demi,145000,2.0,103.0,sale,1407.7669902912621
Ali Demi,75000,1.0,47.0,sale,1595.7446808510638
Ali Demi,100000,2.0,58.0,sale,1724.1379310344828
Ali Demi,306000,2.0,139.1,sale,2199.856218547807
Ali Demi,140000,3.0,88.0,sale,1590.909090909091
Ali Demi,324900,2.0,147.7,sale,2199.7291807718348
Ali Demi,194000,3.0,107.0,sale,1813.0841121495328
Ali Demi,149350,3.0,82.0,sale,1821.341463414634
Ali Demi,210000,2.0,105.0,sale,2000.0
Ali Demi,103000,2.0,61.0,sale,1688.5245901639344
Ali Demi,168000,5.0,105.0,sale,1600.0
Ali Demi,92000,1.0,65.0,sale,1415.3846153846155
Ali Demi,100000,2.0,56.0,sale,1785.7142857142858
Ali Demi,125500,2.0,81.0,sale,1549.3827160493827
Ali Demi,199000,2.0,140.0,sale,1421.4285714285713
Ali Demi,95000,2.0,67.0,sale,1417.910447761194
Ali Demi,45000,3.0,86.0,rent,523.2558139534884
Ali Demi,164000,3.0,94.0,sale,1744.6808510638298
Ali Demi,103000,2.0,64.4,sale,1599.3788819875774
Ali Demi,90000,1.0,67.0,sale,1343.2835820895523
Ali Demi,88000,2.0,70.5,sale,1248.22695035461
Ali Demi,45000,2.0,60.0,rent,750.0
Ali Demi,89000,2.0,53.0,sale,1679.245283018868
Ali Demi,38000,2.0,60.0,rent,633.3333333333334
Ali Demi,55000,3.0,100.0,rent,550.0
Ali Demi,93000,2.0,64.0,sale,1453.125
Ali Demi,95000,2.0,74.0,sale,1283.7837837837837
Allias,37000,1.0,50.0,rent,740.0
Allias,78000,2.0,56.0,sale,1392.857142857143
Allias,105000,2.0,72.0,sale,1458.3333333333333
Allias,75000,2.0,65.0,sale,1153.8461538461538
Allias,70000,1.0,54.0,sale,1296.2962962962963
Allias,75000,3.0,75.0,sale,1000.0
Allias,35000,2.0,60.0,rent,583.3333333333334
Allias,75000,2.0,57.0,sale,1315.7894736842106
Allias,78000,1.0,56.0,sale,1392.857142857143
Allias,140000,3.0,70.0,sale,2000.0
Allias,88000,1.0,60.0,sale,1466.6666666666667
Allias,88000,1.0,54.0,sale,1629.6296296296296
Allias,140000,1.0,91.0,sale,1538.4615384615386
Allias,150000,3.0,124.0,sale,1209.6774193548388
Allias,75000,1.0,57.0,sale,1315.7894736842106
Allias,45000,2.0,124.0,rent,362.9032258064516
Allias,91000,2.0,75.0,sale,1213.3333333333333
Allias,102000,2.0,72.0,sale,1416.6666666666667
Allias,101000,3.0,72.0,sale,1402.7777777777778
Allias,75000,1.0,56.0,sale,1339.2857142857142
Allias,75000,2.0,72.0,sale,1041.6666666666667
Allias,120000,4.0,85.0,sale,1411.764705882353
Allias,150000,4.0,124.0,sale,1209.6774193548388
Astir,203000,4.0,127.0,sale,1598.4251968503936
Astir,162500,3.0,100.0,sale,1625.0
Astir,84100,2.0,58.0,sale,1450.0
Astir,129900,2.0,103.0,sale,1261.1650485436894
Astir,125000,1.0,100.0,sale,1250.0
Astir,140000,2.0,87.0,sale,1609.1954022988505
Astir,134400,2.0,112.0,sale,1200.0
Astir,150000,2.0,102.0,sale,1470.5882352941176
Astir,125000,3.0,88.0,sale,1420.4545454545455
Astir,52000,2.0,70.0,rent,742.8571428571429
Astir,138000,2.0,80.0,sale,1725.0
Astir,135000,2.0,85.0,sale,1588.235294117647
Astir,118000,2.0,87.0,sale,1356.3218390804598
Astir,90000,1.0,68.0,sale,1323.5294117647059
Astir,134400,2.0,104.0,sale,1292.3076923076924
Astir,138000,2.0,92.0,sale,1500.0
Astir,85000,2.0,65.0,sale,1307.6923076923076
Astir,144000,5.0,100.0,sale,1440.0
Astir,50000,3.0,75.0,rent,666.6666666666666
Astir,45000,2.0,72.0,rent,625.0
Astir,65000,2.0,70.0,rent,928.5714285714286
Astir,97000,1.0,65.0,sale,1492.3076923076924
Astir,96400,2.0,80.0,sale,1205.0
Astir,50000,3.0,85.0,rent,588.2352941176471
Astir,153000,2.0,127.0,sale,1204.724409448819
Astir,97000,2.0,64.0,sale,1515.625
Astir,115000,5.0,90.0,sale,1277.7777777777778
Astir,169000,3.0,162.0,sale,1043.20987654321
Mjull bathore,205000,1.0,79.0,sale,2594.9367088607596
Mjull bathore,254000,2.0,121.0,sale,2099.1735537190084
Mjull bathore,331000,3.0,169.0,sale,1958.5798816568047
Mjull bathore,308700,2.0,147.0,sale,2100.0
Mjull bathore,213000,2.0,113.0,sale,1884.9557522123894
Mjull bathore,362508,3.0,196.0,sale,1849.530612244898
Mjull bathore,230000,2.0,124.0,sale,1854.8387096774193
Mjull bathore,365000,2.0,145.0,sale,2517.2413793103447
Mjull bathore,156800,2.0,98.0,sale,1600.0
Mjull bathore,348000,3.0,158.0,sale,2202.53164556962
Mjull bathore,266000,2.0,121.0,sale,2198.3471074380163
Mjull bathore,462000,3.0,231.0,sale,2000.0
Mjull bathore,346000,3.0,164.0,sale,2109.756097560976
Mjull bathore,750000,4.0,489.0,sale,1533.7423312883436
Mjull bathore,172000,1.0,82.0,sale,2097.560975609756
Mjull bathore,275000,2.0,137.0,sale,2007.2992700729926
Mjull bathore,372866,3.0,196.0,sale,1902.3775510204082
Mjull bathore,299000,3.0,126.0,sale,2373.0158730158732
Mjull bathore,320000,2.0,137.0,sale,2335.7664233576643
Mjull bathore,302000,2.0,137.0,sale,2204.3795620437954
Mjull bathore,317000,2.0,144.0,sale,2201.3888888888887
Mjull bathore,225802,1.0,76.0,sale,2971.0789473684213
Mjull bathore,445328,2.0,124.0,sale,3591.3548387096776
Mjull bathore,180000,2.0,82.0,sale,2195.121951219512
Mjull bathore,255462,2.0,120.0,sale,2128.85
Mjull bathore,310000,2.0,127.0,sale,2440.9448818897636
Mjull bathore,185000,1.0,108.0,sale,1712.962962962963
Mjull bathore,205000,1.0,105.0,sale,1952.3809523809523
Mjull bathore,698000,3.0,220.0,sale,3172.7272727272725
Mjull bathore,1018000,3.0,341.0,sale,2985.3372434017597
Mjull bathore,703500,3.0,220.0,sale,3197.7272727272725
Mjull bathore,724000,3.0,220.0,sale,3290.909090909091
Mjull bathore,746600,3.0,220.0,sale,3393.6363636363635
Mjull bathore,318200,2.0,127.0,sale,2505.511811023622
Mjull bathore,385400,3.0,186.0,sale,2072.043010752688
Mjull bathore,295000,3.0,126.0,sale,2341.2698412698414
Mjull bathore,121000,2.0,121.0,sale,1000.0
Blloku,165000,1.0,53.0,sale,3113.2075471698113
Blloku,240000,2.0,86.0,sale,2790.6976744186045
Blloku,135000,1.0,44.0,sale,3068.181818181818
Blloku,94300,1.0,63.0,sale,1496.8253968253969
Blloku,235000,5.0,114.0,sale,2061.40350877193
Blloku,680000,3.0,176.0,sale,3863.6363636363635
Blloku,280000,3.0,96.0,sale,2916.6666666666665
Blloku,185000,3.0,83.0,sale,2228.9156626506024
Blloku,210000,5.0,110.0,sale,1909.090909090909
Blloku,185000,2.0,83.0,sale,2228.9156626506024
Blloku,100000,3.0,100.0,rent,1000.0
Blloku,640000,3.0,197.0,sale,3248.730964467005
Blloku,185000,2.0,84.0,sale,2202.3809523809523
Blloku,537000,3.0,179.0,sale,3000.0
Blloku,330000,4.0,100.0,sale,3300.0
Blloku,600000,2.0,197.0,sale,3045.6852791878173
Blloku,420000,2.0,121.0,sale,3471.0743801652893
Blloku,300000,2.0,96.0,sale,3125.0
Blloku,336000,2.0,112.0,sale,3000.0
Blloku,600000,3.0,197.0,sale,3045.6852791878173
Vasil Shanto,200000,3.0,105.0,sale,1904.7619047619048
Vasil Shanto,173000,2.0,93.4,sale,1852.2483940042825
Vasil Shanto,279000,2.0,100.0,sale,2790.0
Vasil Shanto,93000,2.0,64.0,sale,1453.125
Vasil Shanto,280000,3.0,100.0,sale,2800.0
Vasil Shanto,50000,2.0,65.0,rent,769.2307692307693
Vasil Shanto,207000,5.0,80.0,sale,2587.5
Vasil Shanto,220000,5.0,80.0,sale,2750.0
Vasil Shanto,199000,3.0,105.0,sale,1895.2380952380952
Vasil Shanto,50000,3.0,65.0,rent,769.2307692307693
Vasil Shanto,135000,1.0,74.0,sale,1824.3243243243244
Vasil Shanto,140000,3.0,69.0,sale,2028.9855072463768
Vasil Shanto,50000,3.0,70.0,rent,714.2857142857143
Vasil Shanto,173000,2.0,93.0,sale,1860.215053763441
Vasil Shanto,220000,2.0,90.0,sale,2444.4444444444443
Vasil Shanto,379500,3.0,131.0,sale,2896.946564885496
Vasil Shanto,279000,2.0,98.0,sale,2846.938775510204
Vasil Shanto,269000,2.0,121.0,sale,2223.1404958677685
Vasil Shanto,257890,2.0,138.0,sale,1868.768115942029
Vasil Shanto,292500,3.0,112.0,sale,2611.6071428571427
Vasil Shanto,210000,2.0,122.0,sale,1721.311475409836
Vasil Shanto,140000,2.0,69.0,sale,2028.9855072463768
Vasil Shanto,207000,3.0,90.0,sale,2300.0
Vasil Shanto,279000,3.0,98.0,sale,2846.938775510204
Vasil Shanto,128000,2.0,50.0,sale,2560.0
Vasil Shanto,190000,3.0,105.0,sale,1809.5238095238096
Vasil Shanto,250000,3.0,90.0,sale,2777.777777777778
Vasil Shanto,207000,2.0,90.0,sale,2300.0
Vasil Shanto,210000,2.0,122.2,sale,1718.494271685761
Vasil Shanto,225000,2.0,122.2,sale,1841.2438625204582
Vasil Shanto,160000,2.0,82.0,sale,1951.219512195122
Vasil Shanto,250000,2.0,185.0,sale,1351.3513513513512
Vasil Shanto,182000,2.0,93.0,sale,1956.989247311828
Vasil Shanto,210000,2.0,112.0,sale,1875.0
Brraka,193000,2.0,91.0,sale,2120.879120879121
Brraka,240000,2.0,103.0,sale,2330.097087378641
Brraka,120000,2.0,43.0,sale,2790.6976744186045
Brraka,122200,2.0,94.0,sale,1300.0
Brraka,139000,4.0,139.0,sale,1000.0
Brraka,30000,1.0,60.0,rent,500.0
Brraka,30000,2.0,90.0,rent,333.3333333333333
Brraka,34000,1.0,75.0,rent,453.3333333333333
Brraka,107900,2.0,83.0,sale,1300.0
Brraka,40000,2.0,80.0,rent,500.0
Brraka,51600,1.0,43.0,sale,1200.0
Brryli,110000,1.0,56.0,sale,1964.2857142857142
Brryli,145000,2.0,70.0,sale,2071.4285714285716
Brryli,140000,4.0,105.0,sale,1333.3333333333333
Brryli,135000,1.0,63.0,sale,2142.8571428571427
Brryli,150000,1.0,45.0,sale,3333.3333333333335
Brryli,135000,1.0,73.0,sale,1849.3150684931506
Brryli,95000,1.0,50.0,sale,1900.0
Brryli,140000,2.0,89.0,sale,1573.0337078651685
Brryli,230000,3.0,140.11,sale,1641.567339947184
Brryli,123800,2.0,77.39,sale,1599.6898824137486
Brryli,50000,1.0,60.0,rent,833.3333333333334
Brryli,136000,1.0,68.0,sale,2000.0
Brryli,120000,1.0,60.0,sale,2000.0
Brryli,110000,2.0,75.0,sale,1466.6666666666667
Brryli,50000,1.0,75.0,rent,666.6666666666666
Brryli,230000,3.0,140.0,sale,1642.857142857143
Brryli,110000,1.0,55.0,sale,2000.0
Brryli,135000,2.0,75.0,sale,1800.0
Brryli,50000,1.0,70.0,rent,714.2857142857143
Brryli,240000,2.0,126.0,sale,1904.7619047619048
Brryli,135000,2.0,75.3,sale,1792.8286852589642
Brryli,149000,2.0,77.0,sale,1935.064935064935
Brryli,255000,3.0,136.0,sale,1875.0
Brryli,116000,1.0,60.0,sale,1933.3333333333333
Brryli,175000,3.0,106.0,sale,1650.9433962264152
Brryli,120000,2.0,75.0,sale,1600.0
Brryli,332800,2.0,128.0,sale,2600.0
Brryli,161000,3.0,70.0,sale,2300.0
Brryli,125000,2.0,78.0,sale,1602.5641025641025
Brryli,120000,3.0,84.0,sale,1428.5714285714287
Brryli,177000,3.0,108.0,sale,1638.888888888889
Don Bosko,35000,5.0,110.0,rent,318.1818181818182
Don Bosko,171000,2.0,107.0,sale,1598.1308411214952
Don Bosko,80000,2.0,100.0,rent,800.0
Don Bosko,195000,3.0,91.0,sale,2142.8571428571427
Don Bosko,140000,1.0,77.0,sale,1818.1818181818182
Don Bosko,175741,2.0,106.51,sale,1649.9953056051074
Don Bosko,70000,3.0,110.0,rent,636.3636363636364
Don Bosko,177000,3.0,110.0,sale,1609.090909090909
Don Bosko,143000,3.0,95.0,sale,1505.2631578947369
Don Bosko,97000,1.0,54.0,sale,1796.2962962962963
Don Bosko,140500,2.0,76.0,sale,1848.6842105263158
Don Bosko,192240,2.0,107.0,sale,1796.6355140186915
Don Bosko,250000,4.0,121.0,sale,2066.115702479339
Don Bosko,89000,1.0,54.0,sale,1648.148148148148
Don Bosko,105000,2.0,72.0,sale,1458.3333333333333
Don Bosko,40000,1.0,90.0,rent,444.44444444444446
Don Bosko,175000,3.0,93.0,sale,1881.720430107527
Don Bosko,180000,2.0,94.0,sale,1914.8936170212767
Don Bosko,134000,2.0,76.0,sale,1763.157894736842
Don Bosko,850000,,500.0,sale,1700.0
Ish Fusha e Aviacionit,250000,3.0,150.0,sale,1666.6666666666667
Ish Fusha e Aviacionit,114700,1.0,79.14,sale,1449.3303007328784
Ish Fusha e Aviacionit,186224,2.0,117.0,sale,1591.6581196581196
Ish Fusha e Aviacionit,140000,3.0,107.75,sale,1299.3039443155453
Ish Fusha e Aviacionit,105000,1.0,50.0,sale,2100.0
Ish Fusha e Aviacionit,160000,3.0,85.0,sale,1882.3529411764705
Ish Fusha e Aviacionit,131800,1.0,83.0,sale,1587.9518072289156
Ish Fusha e Aviacionit,90000,1.0,62.0,sale,1451.6129032258063
Ish Fusha e Aviacionit,135000,3.0,93.0,sale,1451.6129032258063
Ish Fusha e Aviacionit,48000,3.0,115.0,rent,417.39130434782606
Ish Fusha e Aviacionit,134250,1.0,60.0,sale,2237.5
Ish Fusha e Aviacionit,160000,2.0,73.0,sale,2191.780821917808
Ish Fusha e Aviacionit,179000,2.0,124.0,sale,1443.5483870967741
Ish Fusha e Aviacionit,140000,3.0,97.0,sale,1443.298969072165
Ish Fusha e Aviacionit,114500,1.0,95.0,sale,1205.2631578947369
Ish Fusha e Aviacionit,109700,1.0,64.0,sale,1714.0625
Ish Fusha e Aviacionit,140000,2.0,97.0,sale,1443.298969072165
Ish Fusha e Aviacionit,125000,2.0,83.0,sale,1506.0240963855422
Ish Fusha e Aviacionit,164480,1.0,75.0,sale,2193.0666666666666
Ish Fusha e Aviacionit,223900,2.0,112.0,sale,1999.107142857143
Ish Fusha e Aviacionit,385000,3.0,181.0,sale,2127.07182320442
Ish Fusha e Aviacionit,94000,1.0,62.0,sale,1516.1290322580646
Ish Fusha e Aviacionit,166000,2.0,107.0,sale,1551.4018691588785
Ish Fusha e Aviacionit,210000,2.0,113.0,sale,1858.4070796460178
Ish Fusha e Aviacionit,250000,3.0,149.0,sale,1677.8523489932886
Ish Fusha e Aviacionit,192000,2.0,120.0,sale,1600.0
Ish Fusha e Aviacionit,201600,1.0,126.0,sale,1600.0
Ish Fusha e Aviacionit,92500,1.0,77.0,sale,1201.2987012987012
Ish Fusha e Aviacionit,154000,2.0,85.0,sale,1811.764705882353
Ish Fusha e Aviacionit,76000,1.0,57.0,sale,1333.3333333333333
Ish Fusha e Aviacionit,180000,2.0,120.0,sale,1500.0
Ish Fusha e Aviacionit,117150,2.0,78.0,sale,1501.923076923077
Ish Fusha e Aviacionit,98000,1.0,73.0,sale,1342.4657534246576
Ish Fusha e Aviacionit,101500,1.0,73.0,sale,1390.4109589041095
Ish Stacioni i Trenit,300000,2.0,137.0,sale,2189.78102189781
Ish Stacioni i Trenit,387200,3.0,159.0,sale,2435.2201257861634
Ish Stacioni i Trenit,215000,2.0,116.0,sale,1853.448275862069
Ish Stacioni i Trenit,387200,4.0,156.8,sale,2469.3877551020405
Ish Stacioni i Trenit,145000,2.0,67.0,sale,2164.179104477612
Ish Stacioni i Trenit,375000,4.0,200.0,sale,1875.0
Ish Stacioni i Trenit,158000,2.0,70.0,sale,2257.1428571428573
Ish Stacioni i Trenit,225700,2.0,86.8,sale,2600.230414746544
Ish Stacioni i Trenit,155000,1.0,71.0,sale,2183.0985915492956
Ish Stacioni i Trenit,175186,2.0,80.0,sale,2189.825
Ish Stacioni i Trenit,387200,4.0,159.0,sale,2435.2201257861634
Ish Stacioni i Trenit,300000,3.0,137.0,sale,2189.78102189781
Ish Stacioni i Trenit,207400,2.0,122.0,sale,1700.0
Ish Stacioni i Trenit,191000,2.0,106.0,sale,1801.8867924528302
Fresku,91000,2.0,60.0,sale,1516.6666666666667
Fresku,300000,1.0,86.0,sale,3488.3720930232557
Fresku,95000,2.0,74.0,sale,1283.7837837837837
Fresku,77500,2.0,57.63,sale,1344.785701891376
Fresku,109000,2.0,98.0,sale,1112.2448979591836
Fresku,89100,1.0,59.0,sale,1510.1694915254238
Fresku,134250,2.0,89.0,sale,1508.426966292135
Fresku,162000,2.0,108.0,sale,1500.0
Fresku,155000,3.0,101.0,sale,1534.6534653465346
Fresku,75000,2.0,70.0,sale,1071.4285714285713
Fresku,100000,2.0,91.0,sale,1098.901098901099
Fresku,200000,2.0,160.0,sale,1250.0
Fresku,83000,1.0,63.0,sale,1317.4603174603174
Fresku,67000,3.0,110.0,sale,609.0909090909091
Fresku,125000,3.0,87.0,sale,1436.7816091954023
Fresku,35000,3.0,97.0,rent,360.82474226804123
Fresku,180000,2.0,120.0,sale,1500.0
Fresku,87000,2.0,72.0,sale,1208.3333333333333
Fresku,93000,2.0,66.0,sale,1409.090909090909
Fresku,124000,2.0,124.0,sale,1000.0
Fresku,650000,6.0,450.0,sale,1444.4444444444443
Fresku,280000,3.0,89.0,sale,3146.067415730337
Fresku,80000,2.0,98.0,sale,816.3265306122449
Fresku,135000,2.0,112.0,sale,1205.357142857143
Fresku,172700,3.0,138.0,sale,1251.4492753623188
Fresku,145000,3.0,116.0,sale,1250.0
Fresku,139000,2.0,115.0,sale,1208.695652173913
Fresku,92700,1.0,100.0,sale,927.0
Fresku,60000,1.0,43.0,sale,1395.3488372093022
Fresku,104800,2.0,94.0,sale,1114.8936170212767
Kinostudio,50000,3.0,120.0,rent,416.6666666666667
Kinostudio,180000,5.0,123.0,sale,1463.4146341463415
Kinostudio,299000,2.0,105.0,sale,2847.6190476190477
Kinostudio,40000,2.0,62.0,rent,645.1612903225806
Kinostudio,190000,3.0,104.0,sale,1826.923076923077
Kinostudio,450000,4.0,324.0,sale,1388.888888888889
Kinostudio,190000,2.0,101.0,sale,1881.1881188118812
Kinostudio,75000,1.0,52.0,sale,1442.3076923076924
Kinostudio,183000,3.0,101.0,sale,1811.881188118812
Kinostudio,180000,3.0,123.0,sale,1463.4146341463415
Kinostudio,109000,1.0,78.0,sale,1397.4358974358975
Kinostudio,190000,2.0,104.0,sale,1826.923076923077
Kinostudio,110000,1.0,67.0,sale,1641.7910447761194
Kinostudio,120000,1.0,73.0,sale,1643.835616438356
Kinostudio,299000,3.0,106.0,rent,2820.754716981132
Kinostudio,40000,1.0,62.0,rent,645.1612903225806
Kinostudio,80000,3.0,70.0,sale,1142.857142857143
Kinostudio,220000,3.0,120.5,sale,1825.7261410788383
Kinostudio,109000,2.0,78.0,sale,1397.4358974358975
Kinostudio,115000,2.0,80.6,sale,1426.7990074441689
Kamez,88000,2.0,110.0,sale,800.0
Kamez,195000,3.0,220.0,sale,886.3636363636364
Kamez,80360,2.0,98.0,sale,820.0
Kamez,74500,2.0,60.0,sale,1241.6666666666667
Kamez,135259,2.0,109.0,sale,1240.908256880734
Kamez,82400,2.0,109.81,sale,750.3870321464348
Kamez,59000,1.0,70.0,sale,842.8571428571429
Kamez,89000,2.0,93.0,sale,956.989247311828
Kamez,79000,2.0,95.0,sale,831.578947368421
Kamez,80000,3.0,93.46,sale,855.981168414295
Kamez,93000,2.0,109.0,sale,853.2110091743119
Kamez,82000,3.0,96.55,sale,849.3008803728638
Kamez,97000,2.0,121.0,sale,801.6528925619834
Kamez,93000,2.0,93.0,sale,1000.0
Kamez,66000,1.0,78.0,sale,846.1538461538462
Kamez,63947,2.0,90.04,sale,710.2065748556197
Kamez,82908,2.0,118.44,sale,700.0
Kamez,76000,2.0,110.1,sale,690.2815622161671
Kamez,80605,2.0,115.15,sale,700.0
Kamez,64097,2.0,94.26,sale,680.0021217907914
Kamez,80453,2.0,110.21,sale,729.9972779239633
Kamez,75215,2.0,110.61,sale,680.001808154778
Kamez,78700,2.0,101.0,sale,779.2079207920792
Kamez,102000,3.0,112.0,sale,910.7142857142857
Kamez,86700,2.0,99.8,sale,868.7374749498998
Kamez,87000,2.0,108.76,sale,799.9264435454211
Kamez,80170,2.0,100.22,sale,799.9401317102374
Kamez,87000,2.0,100.22,sale,868.0902015565755
Kamez,67000,1.0,75.0,sale,893.3333333333334
Kamez,90740,2.0,117.0,sale,775.5555555555555
Kamez,82609,2.0,103.26,sale,800.0096842920782
Kamez,58000,2.0,68.0,sale,852.9411764705883
Kamez,45000,1.0,65.0,sale,692.3076923076923
Kamez,130500,4.0,145.0,sale,900.0
Kamez,93200,3.0,104.0,sale,896.1538461538462
Kamez,170000,5.0,230.0,sale,739.1304347826087
Kamez,75000,3.0,90.0,sale,833.3333333333334
Kamez,80000,3.0,105.0,sale,761.9047619047619
Kamez,80200,3.0,106.0,sale,756.6037735849056
Kombinat,182000,2.0,160.0,sale,1137.5
Kombinat,350000,6.0,430.0,sale,813.953488372093
Kombinat,105000,2.0,59.0,sale,1779.6610169491526
Kombinat,75000,1.0,63.0,sale,1190.4761904761904
Kombinat,105000,1.0,58.97,sale,1780.5663896896729
Kombinat,162000,4.0,195.0,sale,830.7692307692307
Kombinat,90000,2.0,67.0,sale,1343.2835820895523
Kombinat,40000,2.0,41.0,sale,975.609756097561
Kombinat,45000,3.0,100.0,rent,450.0
Kombinat,105000,3.0,90.0,sale,1166.6666666666667
Kombinat,70000,2.0,59.0,sale,1186.4406779661017
Kombinat,40000,2.0,90.0,rent,444.44444444444446
Kombinat,100000,2.0,60.0,sale,1666.6666666666667
Kombinat,43000,1.0,82.0,rent,524.390243902439
Kombinat,85000,4.0,103.1,sale,824.4422890397673
Kombinat,210000,3.0,133.0,sale,1578.9473684210527
Kombinat,125000,2.0,93.0,sale,1344.0860215053763
Kombinat,70000,3.0,59.0,sale,1186.4406779661017
Kombinat,90000,3.0,67.0,sale,1343.2835820895523
Kombinat,64000,1.0,61.0,sale,1049.1803278688524
Kombinat,72100,1.0,64.0,sale,1126.5625
Kombinat,82000,1.0,64.0,sale,1281.25
Kombinat,73000,3.0,93.0,sale,784.9462365591398
Kombinat,70000,2.0,63.0,sale,1111.111111111111
Komuna e Parisit,310000,4.0,141.0,sale,2198.581560283688
Komuna e Parisit,300000,2.0,108.0,sale,2777.777777777778
Komuna e Parisit,300000,3.0,117.2,sale,2559.726962457338
Komuna e Parisit,131000,2.0,48.0,sale,2729.1666666666665
Komuna e Parisit,259500,2.0,100.7,sale,2576.9612711022837
Komuna e Parisit,210000,2.0,90.0,sale,2333.3333333333335
Komuna e Parisit,312000,2.0,130.0,sale,2400.0
Komuna e Parisit,295000,3.0,150.0,sale,1966.6666666666667
Komuna e Parisit,180000,1.0,63.5,sale,2834.6456692913384
Komuna e Parisit,182000,2.0,88.0,sale,2068.181818181818
Komuna e Parisit,60000,2.0,100.0,rent,600.0
Komuna e Parisit,315000,5.0,164.0,sale,1920.7317073170732
Komuna e Parisit,180300,1.0,63.5,sale,2839.3700787401576
Komuna e Parisit,300000,2.0,110.0,sale,2727.2727272727275
Komuna e Parisit,170000,2.0,94.0,sale,1808.5106382978724
Komuna e Parisit,310000,4.0,150.0,sale,2066.6666666666665
Komuna e Parisit,298480,3.0,146.0,sale,2044.3835616438357
Komuna e Parisit,252000,2.0,100.7,sale,2502.4826216484607
Komuna e Parisit,295000,3.0,130.0,sale,2269.230769230769
Komuna e Parisit,257000,2.0,125.0,sale,2056.0
Komuna e Parisit,330000,3.0,108.0,sale,3055.5555555555557
